mod0,vgsr
34.1,4814
33.94,4882
36.42,11761
32.15,2309
33.6,4786
33.76,5591
32.74,2860
31.96,1774
33.79,5641
30.69,899
34.87,5798
32.53,2003
31.96,1113
36.02,8329
32.16,2054
34.19,4570
33.46,2139
32.9,1955
33.22,2028
33.13,1999
32.53,1591
35.11,9907
34.98,5916
33.06,1915
31.85,1144
33.52,2867
34.72,6070
31.99,1627
34.22,6273
35.36,6108
34.91,6771
31.84,1924
31.68,2484
32.73,1190
32.17,1674
31.05,843
33.27,2508
32.31,796
33.06,2173
31.07,851
33.02,6623
34.23,6902
31.42,1084
35.56,7886
33.72,2897
37.21,12184
32.26,1803
34.62,8598
33.07,2010
32.34,1949
32.66,2096
36.09,10607
35.13,7286
35.32,7587
35.46,9479
33.7,6517
33.69,2331
32.86,2390
35.55,9782
33.48,3732
33.33,4340
33.8,3947
32.47,3911
32.24,3662
33.04,3671
24.92,-19
35.57,9367
32.88,3981
34.21,5148
36.08,9275
32.13,1633
35.99,8986
35.58,11693
33.08,2472
34.66,5574
32.4,2524
34.61,5451
36.99,16249
34.8,6758
35.44,5785
33.02,3652
34.07,4749
32.16,1809
34.36,5133
34.45,4949
33.88,5304
34.44,5092
34.3,5294
30.85,1224
32.95,2824
29.34,834
29.24,543
34.04,4490
33.94,5315
33.52,4538
34.32,5288
34.5,5864
34.72,3446
32.45,3100
33.99,4958
33.3,4211
34.9,6417
33.97,2856
34.12,5166
34.12,2426
31.67,2453
29.91,228
34.59,7542
34.4,5015
31.92,1164
34.61,6194
33.2,2843
31.29,862
29.22,1558
32.4,1563
31.77,1053
32.89,1501
32.75,1475
31.57,1092
33.03,1617
32.98,2764
34.95,5020
31.49,1764
34.13,2658
30.81,764
32.65,2112
33.77,1812
32.91,2146
32.69,2063
33.07,2261
31.78,2050
30.52,-172
32.19,313
32.53,2397
31.94,655
30.55,2355
30.95,278
30.78,1079
31.91,2406
32.86,1162
31.17,1341
31.47,-195
31.49,1115
31.96,879
30.44,1375
31.93,1467
31.52,888
31.2,2460
32.09,1037
30.54,-486
31.31,1019
31.2,-274
34.31,1774
30.47,181
30.33,366
30.79,1212
30.41,1043
31.41,1677
31.83,2053
29.03,217
30.87,1898
30.81,1724
30.99,380
31.43,292
32.24,1016
32.39,2208
30.58,709
31.5,2208
35.05,5908
32.02,940
32.43,1738
30.65,1212
30.83,586
31.16,650
34.73,4384
32.18,966
32.36,1953
34.99,7292
35.43,7121
33.22,2619
29.03,1180
35.27,6504
35.47,6659
34.48,6385
35.63,6419
31.01,1425
31.45,1345
31.2,1768
31.58,1358
32.86,2256
33.44,2265
34.73,6825
35.26,7750
35.82,9432
31.79,2438
35.52,7053
34.22,5386
33.96,5406
34.46,4759
34.77,6822
34.8,5730
33.2,5127
32.59,782
33.05,2820
33.77,4798
32.7,2525
29.39,806
34.28,5582
32.76,2901
33.89,4542
34.79,6298
34.19,5389
34.17,4883
34.14,6352
33.03,2628
33.98,4232
34.88,7790
35.19,7623
35.07,7715
35.21,7343
32.56,1626
32.35,1734
33.05,1095
33.13,2803
33.86,2656
32.07,1570
28.98,473
35.05,6253
30.04,573
32.75,2612
33.38,2988
32,918
35.03,6266
34.24,7641
34.03,2534
32.61,2018
35.28,7220
32.45,1510
35.32,6658
32,781
32.65,1488
31.03,995
30.55,-8
31.56,1711
31.78,772
35.09,8095
31.55,1193
35.45,7077
35.07,7965
35.05,6332
30.86,1243
32.37,2006
31.82,2709
30.47,891
32.33,1532
31.82,1606
32.71,1857
33.59,3692
32.27,2970
34.36,6744
32.65,2738
33.4,4545
33.44,5102
31.21,4730
32.73,2875
33.99,5271
35.85,9211
34.55,4823
32.42,1773
36.92,14443
32.21,1429
34.62,7116
27.55,292
33.47,3892
32.72,2485
29.78,727
33.69,5623
33.04,2099
31.68,1333
30.73,1218
29.85,481
31.39,1486
30.45,1484
31.97,92
30.7,864
32.34,2298
31.47,1046
28.09,376
30.26,46
31.11,1468
33.83,78
31.27,2014
31.55,80
30.23,1943
32.14,2508
31.94,2055
34.25,5242
33.88,4677
33.62,4986
35.45,8870
33.81,3990
32.71,1868
34.77,6174
32.5,1820
30.37,1417
35.08,6862
31.93,1380
33.45,2879
32.97,1794
34.04,5248
35.16,9576
31.25,2824
31.69,1396
32.75,2081
31.67,1222
33.07,3992
31.31,979
34.62,5929
31.84,923
31.32,458
30.82,1651
29.62,1037
30.75,1654
31.11,1005
31.52,860
31.77,1435
32.23,900
31.44,1166
31.77,921
36.42,11504
34.7,4893
32.62,5919
33.78,5452
30.19,1322
26.07,75
32.27,3097
32.79,2350
35.31,7318
32.78,3779
33.62,2666
24.39,-153
28.92,399
32.05,2316
32.23,2297
31.48,181
31.84,990
31.81,574
31.36,1544
31.49,1260
32.68,652
30.39,1687
32.2,1589
31.06,256
31.27,1054
34.53,2742
33.25,-221
32.22,1292
32.19,545
32.24,1751
30.52,461
33.19,1945
35.87,6696
33.54,2976
34.48,5012
32.45,2333
32.09,2568
31.86,1863
34.2,5262
32.46,3872
34.78,6826
33.61,3418
34.56,4845
33.25,2308
35.03,6250
32.2,2544
32.28,2060
30.47,958
28.44,344
35.08,5448
34.99,3696
33.21,2357
33.19,2360
30.71,1000
33.1,2910
32.12,1033
33.39,4372
29.96,534
34.96,6209
35.66,6278
34.62,6709
30.12,425
31.39,1158
32.43,2642
33.34,3867
31,3081
31.33,1138
30.97,1215
32.23,2022
33.08,3087
35.02,7689
36.19,11677
34.38,3753
29.48,241
32.12,1281
34.56,4992
31.56,1228
35.52,8454
32.83,2232
31.26,1015
32.5,3629
32.14,1811
32.9,2966
30.64,912
31.41,827
31.06,1546
31.48,2157
31.37,1274
31.24,1789
30.96,1264
28.71,483
33.18,3110
30.16,1060
32.98,2290
30.73,995
32.12,3361
33.26,3148
31.26,2068
31.52,1860
30.55,1634
29.4,606
34.81,6683
34.88,6665
35.01,7518
34.67,6205
36.49,10948
20.56,65
28.53,369
27.68,172
28.79,374
29.08,221
29.51,189
34.12,5109
31.66,2180
31.07,1582
32.18,1562
25.56,193
27.71,205
24.11,-17
29.99,874
24.25,-4
30.81,1505
33.08,4676
32.84,3312
21.1,0
31.53,1683
32.83,2628
35.11,6586
29.29,546
34.66,5714
32.51,2347
32.15,2018
35.79,10314
31.93,1783
33.26,3293
32.93,3091
30.62,694
33.56,4178
32.91,2702
34.37,3998
29.64,688
30.8,1312
30.68,1389
33.38,4764
32.23,2470
33.67,4663
34.32,4907
32.84,2769
31.46,3038
28.79,173
31.29,1472
31.49,1236
30.41,638
32.07,2626
32.48,2382
33.74,4766
35.65,5440
24.47,-17
31.62,1567
30.57,996
32.97,2564
32.94,2971
31.43,1204
30.68,647
31.12,676
32.7,2364
31.01,1090
31.14,972
31.73,1254
31.56,1358
30.89,1030
33.5,3433
31.17,1213
32.78,2408
31.33,2315
29.75,529
30.89,844
30.32,-218
30.23,1184
31.28,1567
28.6,666
33.73,3113
30.63,1503
32.79,2799
32.39,3164
31.52,772
33.81,7627
34.9,5484
33.11,2944
27.92,315
29.4,560
32.59,2639
32.29,2634
31.67,1092
31.45,1752
33,2499
32.89,2205
33.56,2502
32.09,1848
34.56,5328
33.53,3036
31.49,1082
32.48,2884
34.27,4996
34.26,5045
26.46,83
32.69,2871
33.56,4438
34.7,4495
31.1,1885
32.51,2112
34.87,6755
29.62,549
31.66,953
32.58,3295
30.88,831
29.17,1197
32.16,969
33.23,3274
33.87,2015
25.17,7
23.2,-142
32.49,2408
31.81,1272
32.03,1575
31.93,1490
33.13,2577
32.51,2584
32.69,2583
31.6,1457
31.51,1369
27.61,206
33.25,2850
31.82,1631
32.22,2654
32.31,1900
32.22,2797
32.9,2754
30.94,1441
28.3,309
27.53,214
28.69,423
28.35,460
28.92,622
27.66,396
33.48,4052
32.88,3303
32.71,3748
32.47,3512
32.46,2512
33.44,3094
33.59,3561
34.15,3183
31.62,1084
30.97,762
31.1,1157
31.98,1184
31.95,1185
33.26,3064
31.8,2501
30.1,813
31.98,2291
32.62,2375
32.13,1911
32.64,2357
33.45,3340
33.06,2619
33.28,2702
32.64,2408
31.92,2202
34.2,4294
32.91,2612
31.93,1098
32.18,2577
31.93,2086
33.15,2714
33.26,2315
31.16,714
31.52,1517
30.85,1397
32.26,2636
32.89,3687
27.37,213
32.42,2154
32.31,2464
31.26,1896
29.76,698
29.9,679
31.1,1776
28.33,229
28.12,247
26.48,133
30.22,1376
32.93,2784
31.37,978
31.44,917
31.36,2346
32.63,2121
31,1430
31.32,529
22.11,174
19.53,-101
29.32,574
33.18,3246
31.1,2012
27.93,98
27.68,226
18.97,21
35.74,8513
28.63,366
27.03,196
27.38,106
16.8,114
31.52,769
31.41,1224
31.09,1112
30.83,1388
31,147
31.07,1667
32.34,2796
32.8,1327
32.55,1775
31.5,1178
25.68,14
31.36,1828
31.95,1477
30.62,1471
31.5,1493
30.92,237
31.5,1159
33.49,4516
31.01,1434
31.01,578
29.78,596
32.61,3020
28.46,242
29.04,185
29.23,436
28.65,304
29.77,433
27.53,18
28.16,301
33.8,4688
32.96,3637
33.15,2152
32.63,1887
32.91,1991
32.81,2437
33.88,3233
35.12,4983
35.41,7909
33.09,2917
33.5,4164
33.76,4678
31.66,1395
31.26,6050
24.94,-26
29.73,397
27.07,168
29.75,712
28.76,366
31.87,1741
29.89,543
32.33,2079
33.36,3111
32.39,1988
30.73,770
31.22,1608
32.11,1389
33.8,1642
32.33,1565
31.18,2268
32.17,1351
30.35,886
30.25,921
30.8,1203
29.11,491
24.5,-147
31.62,1577
32.24,1719
36.74,16653
32.13,1582
32.42,2179
28.41,273
31.61,1369
31.21,1836
31.67,1936
31.23,1614
32.11,1446
33.24,1761
32.35,1883
32.19,1717
33.44,4274
34.16,4779
32.85,3280
33.83,4377
33.13,2438
32.06,1615
32.98,4251
31.26,1466
31.17,1249
31.22,1469
32.24,2883
30.84,1188
31.43,1004
30.46,1527
32.11,2004
31.2,1336
27.24,257
32.89,2228
32.58,2630
31.7,1343
30.91,1540
31.89,887
34.46,5365
30.99,1603
28.17,302
31.31,859
31.29,1301
31.48,1281
31.39,1362
32.13,1446
31.07,773
31.19,1516
31.39,1202
31.89,1607
31.8,1719
31.77,2004
31.97,1297
31.51,1822
32.06,1786
31.84,1350
31.41,1263
32.11,1573
31.78,1416
30.81,906
30.92,1256
31.49,997
29.46,826
31.45,1070
31.3,1732
28.94,1329
31.47,867
31.3,976
31.02,1117
31.12,1679
32.13,1699
30.1,1038
33.27,3472
35.04,6910
33.5,3048
32.02,1954
32.57,1741
34.48,5948
31.94,1950
30.37,875
31.89,2178
32.77,2647
31.65,1237
31.48,1143
32.78,2994
32.58,3030
33.12,2992
35.38,8968
32.11,1562
33.05,2689
34.46,4950
33.02,1978
29.58,644
32.91,2724
34.71,4376
33.96,3251
32.04,1505
33.01,2417
31.89,1465
32.83,2482
31.95,1694
35.22,7531
34.91,4904
29.94,482
32.33,2380
33.95,4951
29.53,677
33.32,1472
33.22,3155
32.53,2154
32.87,2510
32.5,2421
32.9,2402
32.65,1682
33.25,2313
32.82,2068
29.25,868
31.64,1728
33.48,4088
31.17,2393
32.92,2001
32.38,2796
31.97,1680
31.24,1241
32.02,2595
32.3,2493
34.45,3524
32.3,2511
32.71,2352
32.7,2416
32.47,2620
32.73,2576
25.59,163
31.67,2571
31.52,1096
30.8,879
32.43,2623
32.64,1299
32.96,2913
33.66,3886
33.84,3566
34.39,3416
34.78,5649
34.11,3278
33.63,3603
32.64,2554
32.86,2316
32.14,1750
33.02,2722
33.8,3131
31.99,1420
31.43,1309
30.44,916
32.97,2670
33.06,2913
32.55,2232
33.01,3174
29.96,767
33.04,2910
32.56,1781
32.3,2100
30.17,763
30.55,718
32.11,1645
33.78,4191
31.26,797
31.85,1698
33.13,3201
35.59,8669
33.14,2975
34.24,3913
32.24,1373
30.69,490
32.42,1753
32.74,1705
30.41,929
32.38,1503
30.84,815
32.32,2403
33.66,2020
32.67,2213
28.19,272
32.51,2142
30.97,925
30.92,1317
31.34,620
33,2756
35.12,6701
32.5,1900
32.12,1338
31.19,1584
32.54,1843
32.19,2528
31.12,855
31.25,484
31.2,-345
31.04,1323
31.06,625
31.1,911
31.03,1447
29.82,632
31.13,1336
31.08,916
31.03,1150
30.72,954
32.32,2799
27.8,319
32.07,2144
32.64,2535
33.86,4479
31.16,1059
30.58,1393
31.87,1289
30.93,1162
30.98,1005
33.26,3679
32.29,1812
32.62,4028
32.3,934
33.15,2598
31.52,2007
35.6,4998
26.61,186
27.7,386
32.58,2425
34.31,4722
32.33,2642
31.66,997
32.91,2722
32.77,2870
32.56,2636
32.23,2131
32.14,2541
34.72,5577
32.71,2475
32.91,2479
30.39,1127
34.36,4248
33.97,3908
33.58,3642
32.27,2142
33.24,3963
32.45,1928
33.63,4106
32.41,2054
33.07,2876
35.37,6823
32.05,2027
32.08,1650
32.01,1409
33.2,3769
31.21,2397
33.55,3681
33.49,4240
35.12,7117
31.93,1561
31.6,1747
32.74,2571
32.17,2378
31.13,2140
33.6,3919
32.15,1640
32.13,1899
32.52,2875
31.04,913
32.65,819
31.91,2271
32.63,2506
32.81,2177
33.75,4285
34,4523
32.54,2040
32.62,2762
32.88,2993
35,7096
32.06,2503
32.63,2489
33.86,3947
32.16,2259
30.15,997
32.95,2444
31.25,1565
30.7,773
29.8,758
32.31,2500
34.09,5432
23.32,44
32.77,3022
32.14,2922
32.98,3189
32.73,2758
32.56,2766
31.51,1573
32.53,2598
31.93,1896
31.83,1863
33.2,2823
32.87,2764
32.32,2535
32,1752
32.86,2648
33.21,2752
31.7,1533
33.72,4281
30.89,1285
33.1,3226
32.83,2400
33.18,3636
32.82,2818
32.9,2821
33.65,4265
31.95,1563
33.23,3551
33.17,3680
32.93,2937
29.88,682
32.6,2508
30.68,920
33.2,2692
31.66,1143
36.09,9172
34.25,5072
34.15,4690
33.12,3872
34.04,5095
35.03,7426
33.72,5101
33.33,4334
31.6,1359
33.77,5896
29.33,636
33.7,3619
30.39,620
32.53,1669
31.7,1141
30.83,907
32.66,2122
31.06,1216
30.98,841
31.18,798
30.9,469
31.73,1002
30.98,1198
30.98,273
31.81,1148
34.18,4941
33.42,3409
33.11,2282
34.56,5398
33.32,3752
33.85,4771
32.43,2213
31.61,1160
31.38,1649
31.65,975
32.91,1647
32.73,2262
32.92,2608
32.46,2533
32.03,1980
32.66,2166
31.78,2002
31.56,608
31.24,-241
31.73,1209
30,103
31.08,1309
31,1137
32.26,1055
30.89,42
32.08,795
31.71,923
30.98,592
30.92,359
31.19,1362
32.7,2456
32.01,2856
32.82,2853
31.15,1422
28.14,2370
31.93,1308
32.6,1507
31.39,1234
33.77,1617
32.39,1561
31.84,1203
32.41,1204
32.75,2317
34.95,5431
33.26,3677
31.34,1027
28.12,267
30.2,746
31.31,1008
31.89,683
31.85,1714
33.43,2478
30.84,924
34.76,6715
34.71,8165
31.6,1645
34.79,8543
35.03,6046
30.25,749
31.54,1051
29.67,968
31.77,862
31.49,1398
28.12,1356
32.56,2510
32.2,2416
32.3,2073
29.92,697
32.6,2381
31.66,2048
32.71,1822
32.13,1660
34.81,6457
32.21,2400
30.75,-216
31.52,1232
18.51,90
31.09,1222
32.7,2769
32.14,1466
30.89,911
32.6,2268
29.14,342
32.86,3584
31.88,2647
33.44,2447
29.95,792
31.8,926
33.19,2835
31.11,741
32.09,4022
32.57,4354
30.11,346
33.69,3904
29.97,395
28.62,295
27.25,258
30.75,848
32.82,1313
31.67,1086
30.92,1317
31.04,1267
32.12,1983
31.57,2612
24.42,-153
29.27,457
30.95,1406
30.84,389
31.84,385
28.45,377
34.13,4356
33.99,5721
33.63,6151
34.84,5004
34.27,2806
33.85,4179
33.88,4284
35.4,5605
34.4,5247
33.75,4638
35.02,7644
32.83,3165
35.05,6718
33.13,4801
34.48,4294
33.23,3666
34.35,4337
35.67,7895
33.79,4219
35.26,7366
35.44,7135
34.89,6029
35.44,9009
35.09,7786
34.73,5602
34.41,8419
36.59,11198
35.41,8081
32.46,2583
33.56,2535
31.96,2582
32.45,1829
30.2,732
32.94,1518
33.01,2995
32.06,2548
31.38,1680
30.91,1561
33.06,3443
33.09,2334
32.61,2218
31.72,2211
30.3,1057
31.26,1540
31.6,1622
32.37,2827
32.59,3018
29.5,1692
31.93,1571
31.12,517
30.9,1335
31.23,1421
32.12,1646
32.97,2762
31.29,1396
31.45,1534
32.22,1900
31.59,1885
34.45,5746
33.71,4368
34.6,4252
35.2,5572
34.22,4412
32.61,1757
33.96,3919
34.2,4494
34.23,4829
32.4,1911
33.88,4103
33.85,4782
33.13,1611
31.15,1031
31.9,2004
34.07,4346
32.93,2856
31.32,1046
30.46,1154
32.26,1651
33.1,2559
31.94,2286
31.45,1337
28.8,1641
32.22,2729
33.81,3920
32.09,1590
31.5,2010
31.91,1834
34.31,5637
31.59,1740
34.94,6153
33.29,2321
32.68,2073
31.72,1507
32.22,1135
30.31,1567
31.89,1366
30,1400
31.77,1600
32.07,1874
32.49,1822
32.13,1485
32.95,1722
31.99,308
35.32,7291
32.72,2096
31.55,1022
29.9,611
32.79,2744
30.73,1332
32.31,1798
32.66,2225
32.1,1697
32.12,2754
30.48,1119
32.01,1120
30.73,1473
29.26,356
32.49,2659
31.65,1104
29.56,180
31.46,814
31.14,-142
31.28,1684
31.09,750
29.89,1073
31.26,1363
30.33,597
30.41,1209
28.22,123
29.65,1094
20.86,-56
29.34,630
32.93,2934
33.35,2500
32.33,1600
33.28,2794
31.96,1859
32.45,2301
32.33,1395
32.76,1972
32.89,2450
31.49,663
31.55,1670
31.52,1753
27.55,267
31.56,1516
34.46,4931
30.39,606
31.41,1299
31.46,913
31.55,1152
31.67,1040
32.42,1925
33.85,3607
32,1320
32.5,1412
33.23,2598
33.38,3941
21.83,32
32.14,1199
33.28,2848
32.45,2581
29.97,660
32.84,3604
30.93,507
30.91,1241
31.1,953
31.84,1235
32.62,1216
24.52,-62
31.33,2023
30.88,1081
31.53,997
30.96,987
31.16,1144
30.93,1562
31.04,2215
29.86,564
31.83,1318
31.87,1573
32.2,2086
32.57,1462
31.99,2290
31.98,2085
27.86,88
32.46,2918
31.5,1885
32.75,2588
31.79,1379
30.49,1140
34.87,7870
35.19,7994
34.94,6983
35.06,5666
29.98,677
30.07,711
31.3,1701
31.13,1045
33.92,5336
32.41,2775
32.13,815
31.41,1449
32.94,2937
32.32,1895
32.31,2492
31.17,1033
33.64,2198
29.18,376
29.64,434
31.24,765
30.94,1012
33.51,1361
32.73,1519
31.28,1199
34.8,4238
33.66,2568
33.11,2644
33.78,3630
32.47,1632
31.41,2616
30.83,1614
31.55,1330
32.89,2508
30.66,1352
31.16,1513
30.13,629
32.36,2449
30.35,576
31.16,1176
30.52,747
31.93,1096
31.23,1100
31.79,1466
32.4,2546
33.23,3630
31.56,1302
35.06,6460
35.21,7350
33.37,2942
29.82,664
31.07,672
27.78,69
30.73,682
29.85,475
27.77,107
27.53,237
30.3,635
28.21,366
29.78,574
29.13,530
28.22,400
29.14,272
30.81,1029
27.86,226
28.03,383
30.29,444
30.27,457
31.7,953
29.66,458
29.46,444
31.73,1142
30.13,574
29.19,469
29.97,539
30.11,726
29.35,439
29.26,480
29.08,486
31.28,716
29.19,319
27.12,269
32.66,1090
28.71,570
27.26,179
29.31,515
28.48,246
30.11,624
28.39,334
27.08,250
29.07,551
28.3,318
28.3,394
28.42,163
28.22,348
28.2,362
30.26,598
30.14,483
29.3,258
30.79,1687
30.96,928
32.08,588
31.09,602
31.11,937
31.14,1779
30.97,1120
31.02,1754
30.45,875
31.27,1767
30.03,756
33.2,3709
31.2,1905
30.69,931
29.41,514
31.96,1761
30.97,1079
31.55,945
31.78,1144
30.27,822
29.9,761
27.83,391
31.57,1078
30.44,1142
31.11,1312
32.08,506
32.28,1708
30.4,746
24.46,-112
31.84,1818
31.11,1078
31.39,2183
31.58,1314
30.77,1014
29.35,803
33.6,3912
31.35,2082
29.98,1520
29.74,465
28.02,254
28.16,262
28.01,153
27.7,270
31.68,1605
27.79,119
27.37,105
31.14,1679
32.16,1710
26.53,121
31.97,1638
30.74,848
31.12,1230
24.71,-48
30.85,1605
24.94,-54
28.61,273
27.79,340
30.41,1222
24.5,-22
31.73,1469
32.9,2754
35.33,7535
26.62,98
31.74,1400
34.19,4582
32.94,3586
31.85,1191
30.9,2303
30.82,793
29.09,478
27.68,223
30.09,590
29.67,548
27.53,34
27.73,265
28.79,445
27.58,209
28.32,39
27.38,183
28.13,303
28.94,493
28.01,316
26.8,196
28.21,282
27.37,313
28.79,346
27.68,274
31.32,801
28.15,256
27.75,50
30.02,1150
31.87,1502
26.08,179
33.46,4974
28.13,269
32.52,1965
27.95,1019
30.47,670
30.09,360
34.73,4519
29.59,885
32.7,2677
30.53,861
30.48,2248
30.15,803
30.37,-267
31.08,1916
31.39,965
30.49,1596
33.73,4477
33.24,2956
27.89,357
31.18,818
33.46,4982
27.84,244
32.76,2259
33.47,3472
30.45,827
31.78,1444
33.1,1865
31.56,1082
33.45,4051
32.88,3230
34.17,5602
34.58,4542
32.81,5095
34.02,5033
34.16,4219
33.87,4634
33.88,4634
34.57,5162
32.1,2392
34.35,4245
30.02,656
31.89,1275
32.89,3070
31.82,1430
32.55,2489
33.8,5834
30.73,1385
34.6,6161
30.44,1042
34.54,6013
33.08,3123
33.27,2719
32.22,2037
32.89,2356
